,,0,1
rating,mean,4.005452946350044,4.332894448101821
sentiment,mean,2.9552770448548813,3.3419354838709676
subjective_score,mean,0.789548638005591,0.7997802502388617
word_count,mean,34.92977132805629,26.139302172481894
sent_count,mean,2.71429199648197,2.378538512179065
sent_length,mean,13.46192557602358,11.812919157315262
title_length,mean,1.3716358839050131,1.6048716260697828
review_ext,mean,-0.6299912049252417,-0.29521176212420436
#adj,mean,0.12588287016708088,0.12246852029469844
#adv,mean,0.08161663915843341,0.06971104820794956
#nouns,mean,0.19620190355479125,0.19283015353733393
elap_days,mean,1291.8046613896217,1447.4032038621901
FRE,mean,10.028101029582242,9.710879121839971
