,Appliances,Beauty,Electronics,Grocery,Household,Music,Personal Care,Video Games
rating_mean,4.066187788609543,4.331048387096774,3.8643572251262515,4.474834627552488,3.7210584343991178,3.9350140056022407,4.4678270042194095,4.425274309496784
review_ext_mean,-0.6338122113904568,-0.22415322580645147,-0.7713209887481173,-0.32516537244751215,-0.778941565600882,-0.7114845938375349,-0.13217299578059044,-0.37472569050321597
sentiment_mean,3.986317769796477,4.364247311827957,3.8229821919021885,4.398331895312051,3.689636163175303,3.954621848739496,4.428270042194093,4.403707907680666
subjective_score_mean,0.780777310132082,0.7987299667637212,0.777941299343464,0.800771767694877,0.7682469353724637,0.8148162346891538,0.847813214517281,0.7942340828804634
word_count_mean,24.380879083290576,25.994690860215055,40.8644458226278,20.039689387402934,24.54685777287762,30.536134453781514,38.49762658227848,32.00832387438517
sent_count_mean,2.2601334017444845,2.3828629032258064,2.863116860104545,2.100661489790049,2.319184123484013,2.757422969187675,3.160601265822785,2.463866818009837
sent_length_mean,10.704878054040362,11.892971861186295,15.122596283154394,10.906453796100042,12.115129570420931,12.088672277571895,13.414339748970185,12.368491048229481
title_length_mean,1.47460236018471,1.517741935483871,1.317887835563037,1.8530342249065286,1.4448732083792724,1.7742296918767506,1.3378164556962024,1.6545592130155127
FRE_mean,9.031147764684949,9.24207478597889,10.832389422406488,10.780224272444482,10.0402728962904,8.569474460791213,7.639842996980878,11.306906097370453
#adj_mean,0.15412043136334977,0.12728152979960758,0.11190807613604878,0.12308908457062084,0.1367006822274228,0.11267782753864634,0.11876392734962705,0.10116738641241425
#adv_mean,0.07039395043279427,0.07360151277500362,0.08804246209856863,0.06546613905061134,0.08146564381349397,0.06535508752437601,0.07986682455116173,0.056334137955387886
#nouns_mean,0.20126813348501554,0.1889508945142414,0.19695024274267497,0.19684429663568148,0.19963892464125174,0.18066328776197071,0.18451848924400427,0.21760656447932608
elap_days_mean,1192.15529331281,1746.6811155913979,1419.9397536989457,855.4716709807306,300.7894156560088,726.7008403361344,1538.1366033755273,1027.9345440786985
