,Battery,Filter,Gaming Mouse,Hair Brush,Toilet Paper
rating_mean,3.9,4.066187788609543,3.8000993295257017,4.4678270042194095,3.7210584343991178
sentiment_mean,3.8607438016528928,3.986317769796477,3.754904395331512,4.428270042194093,3.689636163175303
subjective_score_mean,0.7552886789095057,0.780777310132082,0.8187801432348316,0.847813214517281,0.7682469353724637
word_count_mean,27.823553719008263,24.380879083290576,64.37496895952322,38.49762658227848,24.54685777287762
sent_count_mean,2.3466942148760332,2.2601334017444845,3.794139557983611,3.160601265822785,2.319184123484013
sent_length_mean,12.732280045044082,10.704878054040362,19.43193223763189,13.414339748970185,12.115129570420931
title_length_mean,1.328099173553719,1.47460236018471,1.2994785199900671,1.3378164556962024,1.4448732083792724
review_ext_mean,-0.6999999999999997,-0.6338122113904568,-0.8999006704742987,-0.13217299578059044,-0.778941565600882
#adj_mean,0.11363456456554298,0.15412043136334977,0.10879550946156955,0.11876392734962705,0.1367006822274228
#adv_mean,0.09570705175435683,0.07039395043279427,0.07422450309657651,0.07986682455116173,0.08146564381349397
#nouns_mean,0.19511053686367763,0.20126813348501554,0.2002669213325734,0.18451848924400427,0.19963892464125174
elap_days_mean,1735.0920110192837,1192.15529331281,851.7735286814005,1538.1366033755273,300.7894156560088
FRE_mean,10.795523081226927,9.031147764684949,10.846104990036336,7.639842996980878,10.0402728962904
