,Battery,Filter,Gaming Mouse,Hair Brush,Toilet Paper
rating_mean,3.9,4.066187788609543,3.8000993295257017,4.4678270042194095,3.7210584343991178
rating_median,5.0,5.0,5.0,5.0,5.0
rating_std,1.5523824173130103,1.5217313571275206,1.560987366998053,1.1144094577836614,1.5604841003938106
sentiment_mean,2.8607438016528928,2.986317769796477,2.754904395331512,3.428270042194093,2.689636163175303
sentiment_median,4.0,4.0,4.0,4.0,4.0
sentiment_std,1.6762406188874541,1.6188731135093535,1.6045367435799989,1.1902276682477217,1.6376474657906486
subjective_score_mean,0.7552886789095057,0.780777310132082,0.8187801432348316,0.847813214517281,0.7682469353724637
subjective_score_median,0.8302321135997772,0.8587226867675781,0.8850874304771423,0.9209804832935333,0.8253442049026489
subjective_score_std,0.23359184644219164,0.223255592513292,0.18724327238334434,0.1758218051331625,0.20537658148632432
word_count_mean,27.823553719008263,24.380879083290576,64.37496895952322,38.49762658227848,24.54685777287762
word_count_median,17.0,12.0,40.0,26.0,16.0
word_count_std,36.151448918326196,32.79516556466116,80.91680608760797,42.63759664300065,26.276096917472078
sent_count_mean,2.3466942148760332,2.2601334017444845,3.794139557983611,3.160601265822785,2.319184123484013
sent_count_median,2.0,1.0,3.0,3.0,2.0
sent_count_std,1.8932224686411245,1.9993728530891806,3.767007852440689,2.5216129244457237,1.7312851464773198
sent_length_mean,12.732280045044082,10.704878054040362,19.43193223763189,13.414339748970185,12.115129570420931
sent_length_median,10.75,9.0,16.0,12.0,10.0
sent_length_std,9.761500496648829,8.601021890925972,16.504547106876963,8.326920460842008,9.222000659250595
title_length_mean,1.328099173553719,1.47460236018471,1.2994785199900671,1.3378164556962024,1.4448732083792724
title_length_median,1.0,1.0,1.0,1.0,1.0
title_length_std,1.4615646894985748,1.618084297174328,1.3689507138145807,1.3933800906756602,1.5834895731457794
review_ext_mean,-0.6999999999999997,-0.6338122113904568,-0.8999006704742987,-0.13217299578059044,-0.778941565600882
review_ext_median,0.4000000000000003,0.2999999999999998,0.2999999999999998,0.4000000000000003,0.5
review_ext_std,1.5523824173130112,1.5217313571275184,1.5609873669980534,1.114409457783661,1.56048410039381
#adj_mean,0.11363456456554298,0.15412043136334977,0.10879550946156955,0.11876392734962705,0.1367006822274228
#adj_median,0.09363758992805754,0.1,0.0921052631578947,0.1,0.11583184257602855
#adj_std,0.10467616529627136,0.17967918462245064,0.08076643916800574,0.09298208496678259,0.10915598108975239
#adv_mean,0.09570705175435683,0.07039395043279427,0.07422450309657651,0.07986682455116173,0.08146564381349397
#adv_median,0.0714285714285714,0.0444444444444444,0.0677966101694915,0.0714285714285714,0.0689655172413793
#adv_std,0.10953854825582157,0.09768627946998946,0.06322644102317768,0.07463875967590623,0.08434602559716253
#nouns_mean,0.19511053686367763,0.20126813348501554,0.2002669213325734,0.18451848924400427,0.19963892464125174
#nouns_median,0.1875,0.1923076923076923,0.1954022988505747,0.1777777777777777,0.1875
#nouns_std,0.1199603517706189,0.16015183029559754,0.08452036816558738,0.0889881274970123,0.11816077131972659
elap_days_mean,1735.0920110192837,1192.15529331281,851.7735286814005,1538.1366033755273,300.7894156560088
elap_days_median,1653.0,1112.0,859.0,1194.5,301.0
elap_days_std,934.4047818038898,687.5574366569721,404.3033853265724,945.6663524915239,115.43195825524771
image_mean,0.021763085399449034,0.011971951428082777,0.042463372237397566,0.037183544303797465,0.03197353914002205
image_median,0.0,0.0,0.0,0.0,0.0
image_std,0.14591910892316523,0.10876877850542929,0.20166887134113973,0.18923628616179092,0.17597813434392828
FRE_mean,10.795523081226927,9.031147764684949,10.846104990036336,7.639842996980878,10.0402728962904
FRE_median,9.049510809023626,7.997931818855399,8.929911406423034,6.497037037037039,7.211888852554322
FRE_std,7.131886425812789,4.986165444996099,8.594632967415764,4.551515850914479,8.326387678280529
