Product,Unhelpful Reviews,Helpful Reviews,Total Reviews,Helpful Review Ratio,Unhelpful Review Ratio
Toilet Paper,1113,701,1814,38.643880926130095,61.3561190738699
Battery,6234,1026,7260,14.132231404958679,85.86776859504133
Filter,4513,694,5207,13.328212022277702,86.67178797772229
Gaming Mouse,3503,517,4020,12.860696517412935,87.13930348258707
Hair Brush,3245,545,3790,14.379947229551451,85.62005277044855
