,,0,1
rating,mean,3.982481553573854,4.321237224798523
review_ext,mean,-0.6510750984563849,-0.30703255143847624
sentiment,mean,3.931555837218777,4.328305794426186
subjective_score,mean,0.7907668676355155,0.801893637039796
word_count,mean,35.892490154361504,26.722029624960605
sent_count,mean,2.76347833959531,2.411867993336635
sent_length,mean,13.790703797871359,12.026284322843022
title_length,mean,1.3523154225702776,1.5911935527441359
FRE,mean,10.028101029582242,9.710879121839971
#adj,mean,0.11824311028097363,0.11965498014184507
#adv,mean,0.08226103880444567,0.06991406412722825
#nouns,mean,0.1948537770505399,0.19190105514431738
elap_days,mean,1291.5017880584853,1448.7216244203323
