,Facial Spray,Music,Perfume,Video Games
helpful_ratio_mean,0.00015701051970481007,0.0005611672278338879,0.00012271444348998817,0.00041000410004099274
rating_mean,4.308368660700267,3.935465768799102,4.3315744263099765,4.384583845838458
review_ext_mean,-0.19163133929973308,-0.7108866442199774,-0.26842557369002307,-0.4154161541615415
sentiment_mean,4.350447479981159,3.953423120089787,4.353908455025157,4.360393603936039
subjective_score_mean,0.8182019389315347,0.8154901476743119,0.7868021691856538,0.8003786981908445
word_count_mean,30.87753179463024,30.30695847362514,22.883666707571482,33.97170971709717
sent_count_mean,2.6891191709844557,2.7586980920314255,2.202478831758498,2.5858958589585894
sent_length_mean,12.566393313642013,11.732755994181423,11.247195363702406,12.5860541157213
title_length_mean,1.5308525671219972,1.771604938271605,1.4869309117683152,1.5990159901599017
FRE_mean,84.43401475898885,85.49872615039283,88.81655049699349,87.1539442394424
#adj_mean,0.1110265076857342,0.11344038481535806,0.13681315988537796,0.08897524721367912
#adv_mean,0.07198938310228509,0.06574145536068784,0.07511245076708668,0.058885751897553525
#nouns_mean,0.18409243692628718,0.17969218354294084,0.19281397453636762,0.20821982596541583
elap_days_mean,1806.616423300361,771.1975308641976,1699.860719106639,1015.5030750307503
Sentiment Numerical_mean,1.6037054482650337,1.367003367003367,1.6251073751380538,1.6006560065600657
