,Battery,Filter,Gaming Mouse,Toilet Paper
helpful_ratio_mean,0.00013774104683195057,0.00019204916458612705,0.00024875621890546584,0.0005512679162072455
rating_mean,3.9,3.976762051085078,3.7995024875621892,3.7210584343991178
review_ext_mean,-0.6999999999999997,-0.7232379489149224,-0.9004975124378112,-0.778941565600882
sentiment_mean,3.8607438016528928,3.890147877856731,3.754228855721393,3.689636163175303
subjective_score_mean,0.7552886789095057,0.7842014809465492,0.8193811297954167,0.7682469353724637
word_count_mean,27.602203856749313,27.00057614749376,63.44253731343284,24.40848952590959
sent_count_mean,2.346831955922865,2.410793163049741,3.8007462686567166,2.3197353914002203
sent_length_mean,12.376098026878593,11.528880826958543,18.361644103113804,11.849565342491278
title_length_mean,1.328099173553719,1.406952179758018,1.2970149253731342,1.4448732083792724
FRE_mean,81.88991597796144,78.87612060687536,78.30059203980099,85.06204520396912
#adj_mean,0.11406763600029596,0.12528239317803044,0.11016627886301217,0.13718515440406193
#adv_mean,0.0960309523024166,0.0719054771224895,0.07495206949010991,0.08186252614009293
#nouns_mean,0.19423815227850277,0.19573228965744802,0.1994398406742751,0.19911835625751637
elap_days_mean,1735.0920110192837,1186.1526790858459,855.8278606965174,300.7894156560088
Sentiment Numerical_mean,1.2855371900826447,1.1956980987132706,1.3213930348258707,1.1758544652701213
