,0,1
helpful_ratio_mean,0.0010757483744034935,0.0011489345978004555
Rating_mean,2.913549459684123,3.9052665382145153
RewExt_mean,-1.701828761429759,-0.6835260115606935
Sentiment_mean,2.93308395677473,3.968850353243417
Subjective_mean,0.7938013197412886,0.8270168524904221
ElapDays_mean,1047.0993349958437,1647.1711624919717
WordC_mean,49.413965087281795,49.102440590879894
SentC_mean,3.626766417290108,3.659922928709056
SentL_mean,15.856219694686029,15.200411926956894
TitleL_mean,1.0768911055694097,1.3301220295439948
FRE_mean,80.03285120532004,83.44487475915221
AdjR_mean,0.09438461469997864,0.09883238284913934
AdvR_mean,0.07825502007356301,0.07014001230233906
NounR_mean,0.18812115567672513,0.18255293468160863
