,Appliances,Beauty,Electronics,Household,Music,Video Games
helpful_ratio_mean,0.001050871594937225,0.0007989160998190381,0.0008939199067722406,0.001462507190150332,0.0024207700923917384,0.0018700494243807716
Rating_mean,2.5912162162162162,4.087429317094389,2.8824503311258276,3.2904290429042904,2.8426395939086295,3.9049881235154396
RewExt_mean,-2.108783783783784,-0.4531970421922574,-1.7493377483443706,-1.2095709570957096,-1.8015228426395937,-0.8950118764845605
Sentiment_mean,2.636824324324324,4.1291866028708135,2.8832781456953644,3.3217821782178216,3.1395939086294415,3.869358669833729
Subjective_mean,0.7873900516109692,0.8270778546394175,0.7912265092152979,0.8051970983692521,0.8422643938834594,0.8124140609241579
ElapDays_mean,1235.2195945945946,1917.04262722923,1336.2011589403974,287.029702970297,759.6446700507614,1004.0617577197149
WordC_mean,55.108108108108105,47.7994780339278,53.65562913907285,35.396039603960396,52.57106598984772,52.97149643705463
SentC_mean,4.118243243243243,3.6080904741191824,3.7135761589403975,2.9735973597359737,4.215736040609137,3.4228028503562946
SentL_mean,15.42387633012633,15.183663210323779,16.723515787009163,14.549707470747073,14.33932962441659,16.09773194296738
TitleL_mean,1.0810810810810811,1.244019138755981,1.060430463576159,1.1056105610561056,1.6979695431472082,1.4560570071258907
FRE_mean,77.79152027027027,83.62862113962593,78.81471854304635,84.65062706270626,83.1364467005076,82.7301187648456
AdjR_mean,0.07957267645290167,0.10105323678180028,0.09171763659051632,0.11417071535756941,0.10283492944052074,0.08295887560877876
AdvR_mean,0.07121898881669186,0.07205031937522238,0.07962075430883173,0.08240604903043279,0.06668839103343042,0.06293845130326838
NounR_mean,0.19844789347834516,0.18082909963566404,0.18503331110986682,0.1841882966968668,0.16978291096135079,0.20391750977996537
