,Battery,Filter,Gaming Mouse,Hair Brush,Toilet Paper
rating_mean,2.823586744639376,2.507082152974504,2.5694980694980694,4.126605504587156,3.10413694721826
review_ext_mean,-1.7764132553606238,-2.192917847025496,-2.130501930501931,-0.47339449541284384,-1.3958630527817404
sentiment_mean,2.8118908382066277,2.5679886685552407,2.635135135135135,4.099082568807339,3.159771754636234
subjective_score_mean,0.7581463211540997,0.7808433361140426,0.7952863522319835,0.8403027532160829,0.7837464894339463
word_count_mean,57.078947368421055,65.21671388101983,119.65250965250965,70.25504587155963,35.60485021398003
sent_count_mean,3.787524366471735,4.521246458923513,5.903474903474904,4.7376146788990825,2.944365192582026
sent_length_mean,17.4350400759435,17.13122782719385,24.91515289654282,17.373802432049484,14.837300173603355
title_length_mean,1.2777777777777777,1.271954674220963,1.1776061776061777,1.2605504587155962,1.3166904422253922
FRE_mean,11.123231022431076,9.19514695202156,11.655892476233353,8.243112651077448,10.439367859667803
#adj_mean,0.0871369925390473,0.07939201530780274,0.08898601533620415,0.10144720720430211,0.11988985371300873
#adv_mean,0.08570943190372793,0.07107630401207053,0.07168913960263046,0.07541303152041905,0.08451175080707626
#nouns_mean,0.18708040241951776,0.19819208395829374,0.19288061409888918,0.17899491949942692,0.18550404199443468
elap_days_mean,1606.4230019493177,1266.5226628895184,936.2760617760617,1647.3229357798166,288.66904422253924
