,Chocolate,Facial Spray,Music,Perfume,Video Games
rating_mean,3.7941747572815534,4.125808770668583,2.7888349514563107,3.8900414937759336,3.7583148558758315
review_ext_mean,-1.0058252427184464,-0.37419122933141624,-1.854368932038835,-0.7099585062240661,-1.0416851441241683
sentiment_mean,3.8504854368932038,4.186915887850467,3.099514563106796,3.91701244813278,3.731707317073171
subjective_score_mean,0.8119307798848858,0.8277638035456132,0.8343650923806776,0.8152486827070883,0.8078325298509484
word_count_mean,36.05631067961165,49.77785765636233,59.75485436893204,51.56327800829875,70.68736141906874
sent_count_mean,2.970873786407767,3.651329978432782,4.553398058252427,3.7780082987551866,4.053215077605321
sent_length_mean,14.850922383980636,15.282321057533142,14.936046240313678,17.00557257991252,18.888441053678438
title_length_mean,1.5883495145631068,1.2588066139468008,1.7718446601941749,1.2728215767634854,1.492239467849224
FRE_mean,9.886318023318848,8.628543630638742,8.686543043266644,9.612690697419898,12.054560318456579
#adj_mean,0.10694388708500274,0.09894753980542145,0.10089070368732374,0.10279028255356251,0.08152687238134776
#adv_mean,0.06171810713747503,0.07168623325868306,0.06806201841911201,0.07358506137169404,0.062071604694025576
#nouns_mean,0.18651439195496028,0.18375819757408424,0.1696517953429262,0.1793585606206279,0.20223873405730236
elap_days_mean,801.073786407767,1946.7749820273184,761.2766990291262,1913.7697095435685,1021.2062084257207
