,0,1
helpful_ratio_mean,0.0012721928257996911,0.0011489345978004555
Rating_mean,2.776356723124784,3.9052665382145153
RewExt_mean,-1.8412029035603181,-0.6835260115606935
Sentiment_mean,2.806083650190114,3.968850353243417
Subjective_mean,0.778153879416677,0.8270168524904221
ElapDays_mean,1086.690632561355,1647.1711624919717
WordC_mean,62.014517801590046,49.102440590879894
SentC_mean,4.120981679917041,3.659922928709056
SentL_mean,16.78206748693341,15.200411926956894
TitleL_mean,1.2191496716211545,1.3301220295439948
FRE_mean,79.0818216384376,83.44487475915221
AdjR_mean,0.09328713167355038,0.09883238284913934
AdvR_mean,0.07970483208258632,0.07014001230233906
NounR_mean,0.18995341203390803,0.18255293468160863
