Product,Not Helpful Votes,Helpful Votes,Total Reviews,Helpful Votes Percentage
Video Games,1988,451,2439,18.491184911849118
Facial Spray,4978,1391,6369,21.84016329094049
Chocolate,2957,515,3472,14.832949308755762
Music,1370,412,1782,23.120089786756452
Perfume,7185,964,8149,11.829672352435882
