features,average_shap_value
RewExt,0.8856234
Sentiment,0.2177007
Subjective,0.10557699
WordC,0.28026727
SentC,0.92973757
SentL,0.16606231
TitleL,0.015001184
ElapDays,0.4600547
Image,0.043124277
VerPur,0.055837896
NounR,0.10481859
AdjR,0.101835184
AdvR,0.10574401
FRE,0.095223054
