,0,1
helpful_vote_mean,6.137919115105427,6.42068079640334
helpful_vote_std,66.0516112022869,38.473852966404856
Rating_mean,2.776356723124784,3.9052665382145153
Rating_std,1.7348736506245357,1.5901089256292027
RatingC_mean,122681.05807120635,66683.48876043674
RatingC_std,49160.97601036057,21890.150990116395
RewExt_mean,-1.8412029035603181,-0.6835260115606935
RewExt_std,1.7475242924775927,1.599173100288954
Sentiment_mean,2.806083650190114,3.968850353243417
Sentiment_std,1.7994363770797535,1.5610479487980855
Subjective_mean,0.778153879416677,0.8270168524904221
Subjective_std,0.1910040255615359,0.19252709198598109
WordC_mean,62.014517801590046,49.102440590879894
WordC_std,70.62066126467033,49.79073561920865
SentC_mean,4.120981679917041,3.659922928709056
SentC_std,3.5906390711337894,2.8404889105088422
SentL_mean,16.78206748693341,15.200411926956894
SentL_std,10.802005014452996,10.059357311651159
TitleL_mean,1.2191496716211545,1.3301220295439948
TitleL_std,1.2268688440534519,1.4998270115078904
ElapDays_mean,1086.690632561355,1647.1711624919717
ElapDays_std,894.9523253403714,1025.3070728156597
Image_mean,0.0611821638437608,0.07610789980732177
Image_std,0.23970558604362308,0.26521326340691687
VerPur_mean,0.9592118907708261,0.922286448298009
VerPur_std,0.1978331819505785,0.2677632904756494
NounR_mean,0.18995341203390803,0.18255293468160863
NounR_std,0.07637997265674971,0.09512955937298431
AdjR_mean,0.09328713167355038,0.09883238284913934
AdjR_std,0.06782046480682796,0.0745573480534193
AdvR_mean,0.07970483208258632,0.07014001230233906
AdvR_std,0.06408872559741059,0.05730068827019529
FRE_mean,79.0818216384376,83.44487475915221
FRE_std,15.280547600086038,15.068093030048924
