,Battery,Filter,Gaming Mouse,Toilet Paper
helpful_vote_mean,6.308605341246291,6.940836940836941,8.308764940239044,3.490538573508006
helpful_vote_std,84.24546710568455,52.437887484214954,83.71197580443528,6.350281610422736
Rating_mean,2.827893175074184,2.479076479076479,2.589641434262948,3.1368267831149925
Rating_std,1.7360628645775622,1.7424264727467347,1.6784807641332098,1.6976824720997212
RatingC_mean,180458.0,90203.0,46976.0,125736.0
RatingC_std,0.0,0.0,0.0,0.0
RewExt_mean,-1.7721068249258158,-2.220923520923521,-2.110358565737052,-1.3631732168850073
RewExt_std,1.7360628645775624,1.7424264727467347,1.6784807641332096,1.6976824720997212
Sentiment_mean,2.807121661721068,2.5425685425685427,2.639442231075697,3.1921397379912664
Sentiment_std,1.8372894165142457,1.7983591702421324,1.7034302856803545,1.7490678711138152
Subjective_mean,0.7589484165605935,0.782372426472787,0.7991563474232576,0.786814768642751
Subjective_std,0.21226006383446167,0.16969993734209812,0.1794876235013214,0.18420118246760234
WordC_mean,53.8160237388724,65.81096681096682,109.74701195219123,35.37117903930131
WordC_std,54.14715721138725,55.36325439638393,117.77139524502518,31.54515365570083
SentC_mean,3.7467853610286843,4.587301587301587,5.818725099601593,2.960698689956332
SentC_std,2.800844471739657,3.1986197018501525,5.776354855554921,2.056752678639699
SentL_mean,16.167253248600343,16.693987477722217,21.564293656403986,14.281251044813851
SentL_std,10.692121094056182,9.829837794132548,12.74485682120597,9.16130881802199
TitleL_mean,1.2324431256181998,1.2683982683982684,1.093625498007968,1.2416302765647744
TitleL_std,1.3380848829354284,1.3429746134053808,0.8317545142908243,1.17051319019114
ElapDays_mean,1589.3086053412462,1258.8253968253969,929.4462151394422,288.29257641921396
ElapDays_std,1006.3912746729064,818.9092508258617,437.85844750958773,100.86782472296913
Image_mean,0.07319485657764589,0.049062049062049064,0.053784860557768925,0.0611353711790393
Image_std,0.260584986637081,0.2161536140634107,0.2258176925516283,0.23975301434392346
VerPur_mean,0.960435212660732,0.9624819624819625,0.9143426294820717,0.9868995633187773
VerPur_std,0.1950308645450189,0.19016471041566202,0.28013659723292067,0.11378779332349329
NounR_mean,0.1854645070504329,0.19895881292092496,0.19141785113139076,0.18640521945261868
NounR_std,0.07741461783050599,0.06751432073329973,0.05746325056906193,0.09292627389058276
AdjR_mean,0.08755231308687278,0.07765950738240385,0.091149422579368,0.11905274330408191
AdjR_std,0.0673970412250701,0.05086837758575938,0.04659964160782519,0.08685371922377895
AdvR_mean,0.08643924538185549,0.07130282823987519,0.07287616098662685,0.08325954781418646
AdvR_std,0.07341043870733797,0.05332154727219629,0.04769392555097091,0.06831518421932646
FRE_mean,78.9564193867458,76.83930735930736,75.42125498007968,84.20328966521107
FRE_std,15.11516229899404,14.057571719217476,15.317302305526487,15.365973662502796
