,Appliances,Beauty,Electronics,Household,Music,Video Games
helpful_vote_mean,0.9278549382716049,1.0221276001675275,0.943222460658083,1.3426651735722284,1.2063037249283668,1.361006289308176
Rating_mean,3.9834104938271606,4.35508865000698,3.877414163090129,3.749720044792833,3.979942693409742,4.442767295597484
RewExt_mean,-0.7165895061728397,-0.2009214016473543,-0.758288626609442,-0.7502799552071668,-0.6669340974212032,-0.35723270440251564
Sentiment_mean,3.8952546296296298,4.384266368839872,3.8360157367668095,3.7150055991041433,3.9994269340974213,4.411740041928721
Subjective_mean,0.7851262877229601,0.8044045909580806,0.780077288507348,0.7717763319015002,0.8195120012142127,0.8025521248442353
ElapDays_mean,1178.3676697530864,1745.1694820605892,1415.4932045779685,300.81131019036957,727.5730659025788,1014.4587002096436
WordC_mean,27.031828703703702,25.93473404997906,39.76153433476395,24.443449048152296,28.516332378223495,28.960167714884697
SentC_mean,2.4145447530864197,2.3996928661175487,2.8603361945636623,2.328107502799552,2.651002865329513,2.3761006289308177
SentL_mean,11.50686818830929,11.759540922754969,14.370805002688991,11.813492298748539,11.764156866808385,12.206432623432253
TitleL_mean,1.3871527777777777,1.4897389361999163,1.2880007153075823,1.3706606942889137,1.7191977077363896,1.5811320754716982
FRE_mean,79.07282214506174,87.03474312438922,80.78537464234621,85.17764277715565,85.6318223495702,87.48535849056603
AdjR_mean,0.12542250586345235,0.12547899992822562,0.11258242687724568,0.13635039572722038,0.1128091847643891,0.08896696941103226
AdvR_mean,0.07191012848499423,0.07243823861543651,0.08792215365827405,0.08039633414753027,0.06419048612152596,0.05861744575647062
NounR_mean,0.19438112557246043,0.18920973971250069,0.1962488661004715,0.1999588655245672,0.17948367069512533,0.20881017151787323
