,Battery,Filter,Gaming Mouse,Toilet Paper
helpful_vote_mean,6.308605341246291,6.940836940836941,8.308764940239044,3.490538573508006
Rating_mean,2.827893175074184,2.479076479076479,2.589641434262948,3.1368267831149925
RewExt_mean,-1.7721068249258158,-2.220923520923521,-2.110358565737052,-1.3631732168850073
Sentiment_mean,2.807121661721068,2.5425685425685427,2.639442231075697,3.1921397379912664
Subjective_mean,0.7589484165605935,0.782372426472787,0.7991563474232576,0.786814768642751
ElapDays_mean,1589.3086053412462,1258.8253968253969,929.4462151394422,288.29257641921396
WordC_mean,53.8160237388724,65.81096681096682,109.74701195219123,35.37117903930131
SentC_mean,3.7467853610286843,4.587301587301587,5.818725099601593,2.960698689956332
SentL_mean,16.167253248600343,16.693987477722217,21.564293656403986,14.281251044813851
TitleL_mean,1.2324431256181998,1.2683982683982684,1.093625498007968,1.2416302765647744
FRE_mean,78.9564193867458,76.83930735930736,75.42125498007968,84.20328966521107
AdjR_mean,0.08755231308687278,0.07765950738240385,0.091149422579368,0.11905274330408191
AdvR_mean,0.08643924538185549,0.07130282823987519,0.07287616098662685,0.08325954781418646
NounR_mean,0.1854645070504329,0.19895881292092496,0.19141785113139076,0.18640521945261868
