,Facial Spray,Music,Perfume,Video Games
helpful_vote_mean,6.56996336996337,5.342639593908629,6.076017130620985,7.710213776722091
Rating_mean,4.172161172161172,2.8426395939086295,3.9635974304068524,3.9049881235154396
RewExt_mean,-0.32783882783882784,-1.8015228426395937,-0.6364025695931474,-0.8950118764845605
Sentiment_mean,4.224908424908425,3.1395939086294415,3.9892933618843682,3.869358669833729
Subjective_mean,0.8314469744011268,0.8422643938834594,0.8206925778998744,0.8124140609241579
ElapDays_mean,1931.4278388278387,759.6446700507614,1896.019271948608,1004.0617577197149
WordC_mean,47.175824175824175,52.57106598984772,48.71092077087794,52.97149643705463
SentC_mean,3.5597069597069595,4.215736040609137,3.678800856531049,3.4228028503562946
SentL_mean,14.683745441096766,14.33932962441659,15.914271085050622,16.09773194296738
TitleL_mean,1.2432234432234432,1.6979695431472082,1.2451820128479658,1.4560570071258907
FRE_mean,83.04293772893773,83.1364467005076,84.48457173447537,82.7301187648456
AdjR_mean,0.09909544053284841,0.10283492944052074,0.10391447005783809,0.08295887560877876
AdvR_mean,0.07166738505924398,0.06668839103343042,0.07260996106827432,0.06293845130326838
NounR_mean,0.1825322581283034,0.16978291096135079,0.17834000826258836,0.20391750977996537
