,Facial Spray,Music,Perfume,Video Games
helpful_vote_mean,6.56996336996337,5.342639593908629,6.076017130620985,7.710213776722091
helpful_vote_std,45.890029907813435,14.664764824775064,36.81219686360323,30.29138829691025
Rating_mean,4.172161172161172,2.8426395939086295,3.9635974304068524,3.9049881235154396
Rating_std,1.4262264168729681,1.7864656955793365,1.5407165245558556,1.605199531389447
RatingC_mean,60672.0,36762.799492385784,97548.0,45702.444180522565
RatingC_std,0.0,4277.30264077888,0.0,4187.874429013628
RewExt_mean,-0.32783882783882784,-1.8015228426395937,-0.6364025695931474,-0.8950118764845605
RewExt_std,1.4262264168729686,1.749939356487899,1.5407165245558558,1.6051995313894467
Sentiment_mean,4.224908424908425,3.1395939086294415,3.9892933618843682,3.869358669833729
Sentiment_std,1.4188594386726596,1.711599652829438,1.5362336613938712,1.6343155891256673
Subjective_mean,0.8314469744011268,0.8422643938834594,0.8206925778998744,0.8124140609241579
Subjective_std,0.19133780625181226,0.18054101063386938,0.18705801184336143,0.21685316769768867
WordC_mean,47.175824175824175,52.57106598984772,48.71092077087794,52.97149643705463
WordC_std,43.44533257361947,54.56379206917021,46.17845932563496,68.43620000647884
SentC_mean,3.5597069597069595,4.215736040609137,3.678800856531049,3.4228028503562946
SentC_std,2.5429426062762706,3.2325721553135454,2.90316016916085,3.1497320719904423
SentL_mean,14.683745441096766,14.33932962441659,15.914271085050622,16.09773194296738
SentL_std,8.591639685800265,8.931590280596147,11.599288274460289,11.54388273041542
TitleL_mean,1.2432234432234432,1.6979695431472082,1.2451820128479658,1.4560570071258907
TitleL_std,1.2605129224258298,2.4333655975593835,1.1925336313968953,1.621607854827328
ElapDays_mean,1931.4278388278387,759.6446700507614,1896.019271948608,1004.0617577197149
ElapDays_std,762.50516470638,597.6397773281175,1304.7727950826895,483.4382670845006
Image_mean,0.07252747252747253,0.06345177664974619,0.06852248394004283,0.1163895486935867
Image_std,0.2594543397465699,0.24408371308169335,0.2527757183801726,0.32107302282463457
VerPur_mean,0.9245421245421246,0.8527918781725888,0.9571734475374732,0.9026128266033254
VerPur_std,0.2642255307600946,0.354763760172643,0.2025743691299614,0.2968369998867278
NounR_mean,0.1825322581283034,0.16978291096135079,0.17834000826258836,0.20391750977996537
NounR_std,0.07593327155023454,0.0830701768349936,0.08167010933674083,0.1625599277777075
AdjR_mean,0.09909544053284841,0.10283492944052074,0.10391447005783809,0.08295887560877876
AdjR_std,0.07585651214863352,0.07076216523905293,0.07488504700028635,0.07103445211842041
AdvR_mean,0.07166738505924398,0.06668839103343042,0.07260996106827432,0.06293845130326838
AdvR_std,0.057212029148736944,0.05701122816416366,0.055903612633950106,0.0603139637287818
FRE_mean,83.04293772893773,83.1364467005076,84.48457173447537,82.7301187648456
FRE_std,14.79307225510147,13.850478907528421,15.101618546400951,16.808063618540622
